Head Title
"burgerme","BurgerLieferservice","3.5","9","Erdbergstr. 202","1030","Wien","Landstraße","01 361595595","burgerme.at","€ 11-20"
"","Pizza","4.0","10","Neilreichgasse 22","1100","Wien","Favoriten","01 6032971","latraviata.at",""
"New Point","BurgerVegetarisches RestaurantAsiatisches Restaurant","3.5","10","Pilgramgasse 9","1050","Wien","Margareten","01 5448806","newpointrestaurant.at","€ 11-20"
"Mishi","Asiatisches Restaurant","3.5","4","Wiedner Hauptstr. 78","1040","Wien","Wieden","0650 3626971","","€ 11-20"
"Alexis Sorbas","Griechisches Restaurant","4.0","3","Lobenhauerngasse 16-18","1170","Wien","Hernals","01 4892726","alexissorbas.at","Unter € 10"
"","Österreichisches Restaurant","4.5","8","Himmelstr. 150","1190","Wien","Döbling","01 4065938","himmel.at","€ 11-20"
"Hakka Cun","Asiatisches Restaurant","3.5","5","Rennweg 28","1030","Wien","Landstraße","01 7990374","",""
"","Pizza","4.0","4","Liechtensteinstr. 32-34/8","1090","Wien","Alsergrund","01 3152556","lacorta.at","€ 11-20"
"Lemon leaf","Thailändisches Restaurant","4.0","2","Kettenbrückengasse 19","1050","Wien","Margareten","01 5812308","","€ 11-20"
"Asia Wok Leckerbox","Asiatisches Restaurant","4.0","4","Haberlgasse 58","1160","Wien","Ottakring","01 4058380","",""
"Takami","Chinesisches RestaurantAsiatisches Restaurant","4.5","5","Ratschkygasse 5","1120","Wien","Meidling","01 8100711","takami.at/1.html","€ 11-20"
"Pizzeria Motelli","PizzaItalienisches Restaurant","3.5","4","Meidlinger Hauptstr. 3","1120","Wien","Meidling","01 81792471","","Unter € 10"
"Schnitzelhaus","Österreichisches Restaurant","4.0","5","Martinstr. 54","1180","Wien","Währing","01 4075821","schnitzelhaus.com","€ 11-20"
"Porta Via","PizzaItalienisches Restaurant","4.5","4","Wilhelmstr. 33","1120","Wien","Meidling","01 8157770","pizzatelefon.at","€ 11-20"
"Ra’Mien Go","Asiatisches Restaurant","4.5","2","Dresdner Str. 68A","1200","Wien","Brigittenau","01 9054226","ramiengo.at/info-kontakt.html","€ 11-20"
"Meinls Sushibar","Japanisches Restaurant","5.0","1","Graben 19","1010","Wien","Innere Stadt","01 53233346400","meinlamgraben.at","€ 21-40"
"","KebabPizza","4.5","2","Heiligenstädter Str. 33","1190","Wien","Döbling","","","Unter € 10"
"Mario Plachutta","Mediterranes Restaurant","5.0","1","Wollzeile 38","1010","Wien","Innere Stadt","01 51215770","plachutta.at",""
"hot spoon","Suppe & EintopfDessertsSalat","5.0","1","Salesianergasse 20","1030","Wien","Landstraße","01 7150393","hot-spoon.at",""
"October Wok","Japanisches RestaurantChinesisches Restaurant","5.0","1","Hernalser Gürtel 39 Top 2","1170","Wien","Hernals","01 2310111","",""
"","Österreichisches Restaurant","4.5","3","Gumpendorferstrasse 33","1060","Wien","Mariahilf","0650 9700350","saint.info","Unter € 10"
"","Chinesisches Restaurant","4.5","4","Favoritenstrasse 177","1100","Wien","Favoriten","01 6026295","","€ 11-20"
"NASCHTA","Indisches Restaurant","3.5","4","Garnisongasse 10","1090","Wien","Alsergrund","04314 074234","thenaschta.webs.com","€ 11-20"
"","Japanisches Restaurant","4.0","7","Hietzinger Hauptstr. 20","1130","Wien","Hietzing","01 8795029","hanil.at","€ 11-20"
"Jalisco","Mexikanisches Restaurant","2.5","12","Favoritenstr. 58","1040","Wien","Wieden","01 2165830","jalisco.at","€ 11-20"
"Schnitzelhaus","Österreichisches Restaurant","4.0","2","Otto-Bauer-Gasse 26","1060","Wien","Mariahilf","01 5878726","schnitzelhaus.com","€ 11-20"
"Simorgh","Orientalisches RestaurantPersisches Restaurant","5.0","1","Sechsschimmelgasse 6","1090","Wien","Alsergrund","01 3102697","kuechemitkultur.simorgh.at",""
"Pizzeria Luna Rossa","Italienisches Restaurant","4.5","2","Waehringerstrasse 74","1090","Wien","Alsergrund","","",""
"","Pizza","5.0","2","Lerchenfelder Str.  160","1080","Wien","Josefstadt","","pizza-wien.at","€ 11-20"
"Monsoon","Indisches Restaurant","4.5","6","Donaufelder Str. 66","1210","Wien","Floridsdorf","01 2558422","monsoonvienna.at","€ 11-20"
"Ponte Rialto","Pizza","4.0","5","Tivoligasse 44","1120","Wien","Meidling","01 8120249","ponte-di-rialto.at","€ 11-20"
"Pizzeria Palermo","PizzaItalienisches RestaurantLieferservice","3.5","8","Obere Augartenstr. 2","1020","Wien","Leopoldstadt","01 3327324","","Unter € 10"
"Xiang Shan","Asiatisches Restaurant","5.0","2","Floridsdorfer Hauptstr. 26","1210","Wien","Floridsdorf","01 2716532","xiangshan.at","€ 11-20"
"Mirchi","Indisches Restaurant","3.5","15","Hirschengasse 8","1060","Wien","Mariahilf","01 5952504","mirchi.at","€ 11-20"
"Saray","PizzaLieferservice","5.0","1","Ottakringer Str. 30 Stiege 1","1170","Wien","Hernals","01 9240368","","Unter € 10"
"St. Ellas","BistroBBQ & Barbecue","3.0","5","Zieglergasse 43-45","1070","Wien","Neubau","","stellas.at","€ 11-20"
"Futtertopf","Pizza","3.5","3","Thaliastr. 121","1160","Wien","Ottakring","01 4950396","futter-topf.at","€ 11-20"
"Da Corrado","Italienisches RestaurantLieferservicePizza","4.0","3","Penzinger Str. 22","1140","Wien","Penzing","01 8943166","dacorrado.at","€ 21-40"
"Pizzeria Mama Mia","Pizza","3.5","5","Königseggasse 11","1060","Wien","Mariahilf","01 5979960","","€ 11-20"
"burgerme","Burger","4.0","7","Breitenfurter Str. 189","1230","Wien","Liesing","01 361595595","burgerme.at","€ 11-20"
"","LieferserviceItalienisches Restaurant","5.0","2","Klosterneuburger Strasse 35","1200","Wien","Brigittenau","059 058466","Wienerwald","Deutsches RestaurantBrathähnchenFast Food","3.5","2","Bellariastr. 12","1010","Wien","Innere Stadt","0501 51515","wienerwald.at",""
"Asia Restaurant Li","Japanisches RestaurantThailändisches RestaurantChinesisches Restaurant","5.0","1","Währinger Gürtel 162","1090","Wien","Alsergrund","01 9259698","","Unter € 10"
"","Asiatisches Restaurant","4.5","11","Donaufelder Straße 37","1210","Wien","Floridsdorf","01 8901413","wasabirestaurant.at","€ 11-20"
"Pizza Sisi","Pizza","4.0","2","Billrothstr. 18","1190","Wien","Döbling","01 3696868","pizzaboy.at","Unter € 10"
"La Miramare","Italienisches RestaurantGriechisches Restaurant","4.5","6","Maria-Kuhn Gasse 6","1100","Wien","Favoriten","01 2980020","la-miramare.at","€ 11-20"
"","Pizza","4.5","3","Gentzgasse 86-88","1180","Wien","Währing","01 4792436","santamaria1180.at","€ 21-40"
"Kamasutra","Indisches Restaurant","5.0","2","Johnstr. 24","1150","Wien","Rudolfsheim-Fünfhaus","01 9291155","","Unter € 10"
"The Burger Bar","Amerikanisches RestaurantBurgerCocktailbar","3.5","2","Liechtensteinstr. 8b","1090","Wien","Alsergrund","01 9222830","theburgerbar.at","€ 11-20"
"Al Pacino","PizzaLieferservice","3.5","3","Wittelsbachstr. 3","1020","Wien","Leopoldstadt","01 7264495","pizzeria-alpacino.at","€ 11-20"
